Type_of_Event,Year_of_Death,Residence_or_Place_of_Death,County_of_Residence,Age,Veteran_Status,Total_Deaths,Last_Data_Refresh
Death,2019,Place of Residence,Madera,10 - 14 years,Yes,0,06/10/2021
Death,2019,Place of Residence,Madera,15 - 19 years,No,<11,06/10/2021
Death,2019,Place of Residence,Madera,15 - 19 years,Unknown,0,06/10/2021
Death,2019,Place of Residence,Madera,15 - 19 years,Yes,0,06/10/2021
Death,2019,Place of Residence,Madera,20 - 24 years,No,18,06/10/2021
Death,2019,Place of Residence,Madera,20 - 24 years,Unknown,0,06/10/2021
Death,2019,Place of Residence,Madera,20 - 24 years,Yes,0,06/10/2021
Death,2019,Place of Residence,Madera,25 - 29 years,No,<11,06/10/2021
Death,2019,Place of Residence,Madera,25 - 29 years,Unknown,0,06/10/2021
Death,2019,Place of Residence,Madera,25 - 29 years,Yes,<11,06/10/2021
Death,2019,Place of Residence,Madera,30 - 34 years,No,13,06/10/2021
Death,2019,Place of Residence,Madera,30 - 34 years,Unknown,0,06/10/2021
Death,2019,Place of Residence,Madera,30 - 34 years,Yes,0,06/10/2021
Death,2019,Place of Residence,Madera,35 - 39 years,No,22,06/10/2021
Death,2019,Place of Residence,Madera,35 - 39 years,Unknown,0,06/10/2021
Death,2019,Place of Residence,Madera,35 - 39 years,Yes,0,06/10/2021
Death,2019,Place of Residence,Madera,40 - 44 years,No,22,06/10/2021
Death,2019,Place of Residence,Madera,40 - 44 years,Unknown,0,06/10/2021
Death,2019,Place of Residence,Madera,40 - 44 years,Yes,0,06/10/2021
Death,2019,Place of Residence,Madera,45 - 49 years,No,31,06/10/2021
Death,2019,Place of Residence,Madera,45 - 49 years,Unknown,0,06/10/2021
Death,2019,Place of Residence,Madera,45 - 49 years,Yes,0,06/10/2021
Death,2019,Place of Residence,Madera,50 - 54 years,No,35,06/10/2021
Death,2019,Place of Residence,Madera,50 - 54 years,Unknown,0,06/10/2021
Death,2019,Place of Residence,Madera,50 - 54 years,Yes,<11,06/10/2021
Death,2019,Place of Residence,Madera,55 - 59 years,No,67,06/10/2021
Death,2019,Place of Residence,Madera,55 - 59 years,Unknown,<11,06/10/2021
Death,2019,Place of Residence,Madera,55 - 59 years,Yes,<11,06/10/2021
Death,2019,Place of Residence,Madera,60 - 64 years,No,73,06/10/2021
Death,2019,Place of Residence,Madera,60 - 64 years,Unknown,<11,06/10/2021
Death,2019,Place of Residence,Madera,60 - 64 years,Yes,11,06/10/2021
Death,2019,Place of Residence,Madera,65 - 69 years,No,86,06/10/2021
Death,2019,Place of Residence,Madera,65 - 69 years,Unknown,<11,06/10/2021
Death,2019,Place of Residence,Madera,65 - 69 years,Yes,16,06/10/2021
Death,2019,Place of Residence,Madera,70 - 74 years,No,73,06/10/2021
Death,2019,Place of Residence,Madera,70 - 74 years,Unknown,<11,06/10/2021
Death,2019,Place of Residence,Madera,70 - 74 years,Yes,36,06/10/2021
Death,2019,Place of Residence,Madera,75 - 79 years,No,96,06/10/2021
Death,2019,Place of Residence,Madera,75 - 79 years,Unknown,<11,06/10/2021
Death,2019,Place of Residence,Madera,75 - 79 years,Yes,31,06/10/2021
Death,2019,Place of Residence,Madera,80 - 84 years,No,102,06/10/2021
Death,2019,Place of Residence,Madera,80 - 84 years,Unknown,<11,06/10/2021
Death,2019,Place of Residence,Madera,80 - 84 years,Yes,37,06/10/2021
Death,2019,Place of Residence,Madera,85 - 89 years,No,93,06/10/2021
Death,2019,Place of Residence,Madera,85 - 89 years,Unknown,<11,06/10/2021
Death,2019,Place of Residence,Madera,85 - 89 years,Yes,45,06/10/2021
Death,2019,Place of Residence,Madera,90 - 94 years,No,62,06/10/2021
Death,2019,Place of Residence,Madera,90 - 94 years,Unknown,0,06/10/2021
Death,2019,Place of Residence,Madera,90 - 94 years,Yes,20,06/10/2021
Death,2019,Place of Residence,Madera,95 - 99 years,No,49,06/10/2021
Death,2019,Place of Residence,Madera,95 - 99 years,Unknown,0,06/10/2021
Death,2019,Place of Residence,Madera,95 - 99 years,Yes,14,06/10/2021
Death,2019,Place of Residence,Madera,100 years and over,No,<11,06/10/2021
Death,2019,Place of Residence,Madera,100 years and over,Unknown,0,06/10/2021
Death,2019,Place of Residence,Madera,100 years and over,Yes,<11,06/10/2021
Death,2019,Place of Residence,Marin,Less than 1 year,No,0,06/10/2021
Death,2019,Place of Residence,Marin,Less than 1 year,Unknown,0,06/10/2021
Death,2019,Place of Residence,Marin,Less than 1 year,Yes,0,06/10/2021
Death,2019,Place of Residence,Marin,1 - 4 years,No,<11,06/10/2021
Death,2019,Place of Residence,Marin,1 - 4 years,Unknown,0,06/10/2021
Death,2019,Place of Residence,Marin,1 - 4 years,Yes,0,06/10/2021
Death,2019,Place of Residence,Marin,5 - 9 years,No,<11,06/10/2021
Death,2019,Place of Residence,Marin,5 - 9 years,Unknown,0,06/10/2021
Death,2019,Place of Residence,Marin,5 - 9 years,Yes,0,06/10/2021
Death,2019,Place of Residence,Marin,10 - 14 years,No,<11,06/10/2021
Death,2019,Place of Residence,Marin,10 - 14 years,Unknown,0,06/10/2021
Death,2019,Place of Residence,Marin,10 - 14 years,Yes,0,06/10/2021
Death,2019,Place of Residence,Marin,15 - 19 years,No,<11,06/10/2021
Death,2019,Place of Residence,Marin,15 - 19 years,Unknown,0,06/10/2021
Death,2019,Place of Residence,Marin,15 - 19 years,Yes,0,06/10/2021
Death,2019,Place of Residence,Marin,20 - 24 years,No,<11,06/10/2021
Death,2019,Place of Residence,Marin,20 - 24 years,Unknown,0,06/10/2021
Death,2019,Place of Residence,Marin,20 - 24 years,Yes,<11,06/10/2021
Death,2019,Place of Residence,Marin,25 - 29 years,No,<11,06/10/2021
Death,2019,Place of Residence,Marin,25 - 29 years,Unknown,0,06/10/2021
Death,2019,Place of Residence,Marin,25 - 29 years,Yes,0,06/10/2021
Death,2019,Place of Residence,Marin,30 - 34 years,No,<11,06/10/2021
Death,2019,Place of Residence,Marin,30 - 34 years,Unknown,0,06/10/2021
Death,2019,Place of Residence,Marin,30 - 34 years,Yes,0,06/10/2021
Death,2019,Place of Residence,Marin,35 - 39 years,No,15,06/10/2021
Death,2019,Place of Residence,Marin,35 - 39 years,Unknown,0,06/10/2021
Death,2019,Place of Residence,Marin,35 - 39 years,Yes,0,06/10/2021
Death,2019,Place of Residence,Marin,40 - 44 years,No,12,06/10/2021
Death,2019,Place of Residence,Marin,40 - 44 years,Unknown,0,06/10/2021
Death,2019,Place of Residence,Marin,40 - 44 years,Yes,<11,06/10/2021
Death,2019,Place of Residence,Marin,45 - 49 years,No,24,06/10/2021
Death,2019,Place of Residence,Marin,45 - 49 years,Unknown,0,06/10/2021
Death,2019,Place of Residence,Marin,45 - 49 years,Yes,<11,06/10/2021
Death,2019,Place of Residence,Marin,50 - 54 years,No,42,06/10/2021
Death,2019,Place of Residence,Marin,50 - 54 years,Unknown,<11,06/10/2021
Death,2019,Place of Residence,Marin,50 - 54 years,Yes,0,06/10/2021
Death,2019,Place of Residence,Marin,55 - 59 years,No,58,06/10/2021
Death,2019,Place of Residence,Marin,55 - 59 years,Unknown,<11,06/10/2021
Death,2019,Place of Residence,Marin,55 - 59 years,Yes,<11,06/10/2021
Death,2019,Place of Residence,Marin,60 - 64 years,No,86,06/10/2021
Death,2019,Place of Residence,Marin,60 - 64 years,Unknown,<11,06/10/2021
Death,2019,Place of Residence,Marin,60 - 64 years,Yes,<11,06/10/2021
Death,2019,Place of Residence,Marin,65 - 69 years,No,126,06/10/2021
Death,2019,Place of Residence,Marin,65 - 69 years,Unknown,<11,06/10/2021
Death,2019,Place of Residence,Marin,65 - 69 years,Yes,14,06/10/2021
Death,2019,Place of Residence,Marin,70 - 74 years,No,149,06/10/2021
Death,2019,Place of Residence,Marin,70 - 74 years,Unknown,<11,06/10/2021
Death,2019,Place of Residence,Marin,70 - 74 years,Yes,34,06/10/2021
Death,2019,Place of Residence,Marin,75 - 79 years,No,147,06/10/2021
Death,2019,Place of Residence,Marin,75 - 79 years,Unknown,<11,06/10/2021
Death,2019,Place of Residence,Marin,75 - 79 years,Yes,53,06/10/2021
Death,2019,Place of Residence,Marin,80 - 84 years,No,167,06/10/2021
Death,2019,Place of Residence,Marin,80 - 84 years,Unknown,<11,06/10/2021
Death,2019,Place of Residence,Marin,80 - 84 years,Yes,78,06/10/2021
Death,2019,Place of Residence,Marin,85 - 89 years,No,232,06/10/2021
Death,2019,Place of Residence,Marin,85 - 89 years,Unknown,<11,06/10/2021
Death,2019,Place of Residence,Marin,85 - 89 years,Yes,111,06/10/2021
Death,2019,Place of Residence,Marin,90 - 94 years,No,226,06/10/2021
Death,2019,Place of Residence,Marin,90 - 94 years,Unknown,<11,06/10/2021
Death,2019,Place of Residence,Marin,90 - 94 years,Yes,105,06/10/2021
Death,2019,Place of Residence,Marin,95 - 99 years,No,135,06/10/2021
Death,2019,Place of Residence,Marin,95 - 99 years,Unknown,0,06/10/2021
Death,2019,Place of Residence,Marin,95 - 99 years,Yes,46,06/10/2021
Death,2019,Place of Residence,Marin,100 years and over,No,29,06/10/2021
Death,2019,Place of Residence,Marin,100 years and over,Unknown,0,06/10/2021
Death,2019,Place of Residence,Marin,100 years and over,Yes,<11,06/10/2021
Death,2019,Place of Residence,Mariposa,Less than 1 year,No,0,06/10/2021
Death,2019,Place of Residence,Mariposa,Less than 1 year,Unknown,0,06/10/2021
Death,2019,Place of Residence,Mariposa,Less than 1 year,Yes,0,06/10/2021
Death,2019,Place of Residence,Mariposa,1 - 4 years,No,0,06/10/2021
Death,2019,Place of Residence,Mariposa,1 - 4 years,Unknown,0,06/10/2021
Death,2019,Place of Residence,Mariposa,1 - 4 years,Yes,0,06/10/2021
Death,2019,Place of Residence,Mariposa,5 - 9 years,No,0,06/10/2021
Death,2019,Place of Residence,Mariposa,5 - 9 years,Unknown,0,06/10/2021
Death,2019,Place of Residence,Mariposa,5 - 9 years,Yes,0,06/10/2021
Death,2019,Place of Residence,Mariposa,10 - 14 years,No,0,06/10/2021
Death,2019,Place of Residence,Mariposa,10 - 14 years,Unknown,0,06/10/2021
Death,2019,Place of Residence,Mariposa,10 - 14 years,Yes,0,06/10/2021
Death,2019,Place of Residence,Mariposa,15 - 19 years,No,0,06/10/2021
Death,2019,Place of Residence,Mariposa,15 - 19 years,Unknown,0,06/10/2021
Death,2019,Place of Residence,Mariposa,15 - 19 years,Yes,0,06/10/2021
Death,2019,Place of Residence,Mariposa,20 - 24 years,No,<11,06/10/2021
Death,2019,Place of Residence,Mariposa,20 - 24 years,Unknown,0,06/10/2021
Death,2019,Place of Residence,Mariposa,20 - 24 years,Yes,0,06/10/2021
Death,2019,Place of Residence,Mariposa,25 - 29 years,No,<11,06/10/2021
Death,2019,Place of Residence,Mariposa,25 - 29 years,Unknown,0,06/10/2021
Death,2019,Place of Residence,Mariposa,25 - 29 years,Yes,0,06/10/2021
Death,2019,Place of Residence,Mariposa,30 - 34 years,No,<11,06/10/2021
Death,2019,Place of Residence,Mariposa,30 - 34 years,Unknown,0,06/10/2021
Death,2019,Place of Residence,Mariposa,30 - 34 years,Yes,0,06/10/2021
Death,2019,Place of Residence,Mariposa,35 - 39 years,No,0,06/10/2021
Death,2019,Place of Residence,Mariposa,35 - 39 years,Unknown,0,06/10/2021
Death,2019,Place of Residence,Mariposa,35 - 39 years,Yes,0,06/10/2021
Death,2019,Place of Residence,Mariposa,40 - 44 years,No,<11,06/10/2021
Death,2019,Place of Residence,Mariposa,40 - 44 years,Unknown,0,06/10/2021
Death,2019,Place of Residence,Mariposa,40 - 44 years,Yes,0,06/10/2021
Death,2019,Place of Residence,Mariposa,45 - 49 years,No,<11,06/10/2021
Death,2019,Place of Residence,Mariposa,45 - 49 years,Unknown,0,06/10/2021
Death,2019,Place of Residence,Mariposa,45 - 49 years,Yes,0,06/10/2021
Death,2019,Place of Residence,Mariposa,50 - 54 years,No,<11,06/10/2021
Death,2019,Place of Residence,Mariposa,50 - 54 years,Unknown,0,06/10/2021
Death,2019,Place of Residence,Mariposa,50 - 54 years,Yes,<11,06/10/2021
Death,2019,Place of Residence,Mariposa,55 - 59 years,No,11,06/10/2021
Death,2019,Place of Residence,Mariposa,55 - 59 years,Unknown,0,06/10/2021
Death,2019,Place of Residence,Mariposa,55 - 59 years,Yes,<11,06/10/2021
Death,2019,Place of Residence,Mariposa,60 - 64 years,No,18,06/10/2021
Death,2019,Place of Residence,Mariposa,60 - 64 years,Unknown,<11,06/10/2021
Death,2019,Place of Residence,Mariposa,60 - 64 years,Yes,<11,06/10/2021
Death,2019,Place of Residence,Mariposa,65 - 69 years,No,11,06/10/2021
Death,2019,Place of Residence,Mariposa,65 - 69 years,Unknown,0,06/10/2021
Death,2019,Place of Residence,Mariposa,65 - 69 years,Yes,<11,06/10/2021
Death,2019,Place of Residence,Mariposa,70 - 74 years,No,15,06/10/2021
Death,2019,Place of Residence,Mariposa,70 - 74 years,Unknown,0,06/10/2021
Death,2019,Place of Residence,Mariposa,70 - 74 years,Yes,13,06/10/2021
Death,2019,Place of Residence,Mariposa,75 - 79 years,No,15,06/10/2021
Death,2019,Place of Residence,Mariposa,75 - 79 years,Unknown,0,06/10/2021
Death,2019,Place of Residence,Mariposa,75 - 79 years,Yes,<11,06/10/2021
Death,2019,Place of Residence,Mariposa,80 - 84 years,No,19,06/10/2021
Death,2019,Place of Residence,Mariposa,80 - 84 years,Unknown,0,06/10/2021
Death,2019,Place of Residence,Mariposa,80 - 84 years,Yes,<11,06/10/2021
Death,2019,Place of Residence,Mariposa,85 - 89 years,No,18,06/10/2021
Death,2019,Place of Residence,Mariposa,85 - 89 years,Unknown,0,06/10/2021
Death,2019,Place of Residence,Mariposa,85 - 89 years,Yes,<11,06/10/2021
Death,2019,Place of Residence,Mariposa,90 - 94 years,No,<11,06/10/2021
Death,2019,Place of Residence,Mariposa,90 - 94 years,Unknown,0,06/10/2021
Death,2019,Place of Residence,Mariposa,90 - 94 years,Yes,<11,06/10/2021
Death,2019,Place of Residence,Mariposa,95 - 99 years,No,<11,06/10/2021
Death,2019,Place of Residence,Mariposa,95 - 99 years,Unknown,0,06/10/2021
Death,2019,Place of Residence,Mariposa,95 - 99 years,Yes,<11,06/10/2021
Death,2019,Place of Residence,Mariposa,100 years and over,No,0,06/10/2021
Death,2019,Place of Residence,Mariposa,100 years and over,Unknown,0,06/10/2021
Death,2019,Place of Residence,Mariposa,100 years and over,Yes,<11,06/10/2021
Death,2019,Place of Residence,Mendocino,Less than 1 year,No,<11,06/10/2021
Death,2019,Place of Residence,Mendocino,Less than 1 year,Unknown,0,06/10/2021
Death,2019,Place of Residence,Mendocino,Less than 1 year,Yes,0,06/10/2021
Death,2019,Place of Residence,Mendocino,1 - 4 years,No,<11,06/10/2021
Death,2019,Place of Residence,Mendocino,1 - 4 years,Unknown,0,06/10/2021
Death,2019,Place of Residence,Mendocino,1 - 4 years,Yes,0,06/10/2021
Death,2019,Place of Residence,Mendocino,5 - 9 years,No,<11,06/10/2021
Death,2019,Place of Residence,Mendocino,5 - 9 years,Unknown,0,06/10/2021
Death,2019,Place of Residence,Mendocino,5 - 9 years,Yes,0,06/10/2021
Death,2019,Place of Residence,Mendocino,10 - 14 years,No,<11,06/10/2021
Death,2019,Place of Residence,Mendocino,10 - 14 years,Unknown,0,06/10/2021
Death,2019,Place of Residence,Mendocino,10 - 14 years,Yes,0,06/10/2021
Death,2019,Place of Residence,Mendocino,15 - 19 years,No,0,06/10/2021
Death,2019,Place of Residence,Mendocino,15 - 19 years,Unknown,0,06/10/2021
Death,2019,Place of Residence,Mendocino,15 - 19 years,Yes,0,06/10/2021
Death,2019,Place of Residence,Mendocino,20 - 24 years,No,<11,06/10/2021
Death,2019,Place of Residence,Mendocino,20 - 24 years,Unknown,0,06/10/2021
Death,2019,Place of Residence,Mendocino,20 - 24 years,Yes,0,06/10/2021
Death,2019,Place of Residence,Mendocino,25 - 29 years,No,<11,06/10/2021
Death,2019,Place of Residence,Mendocino,25 - 29 years,Unknown,0,06/10/2021
Death,2019,Place of Residence,Mendocino,25 - 29 years,Yes,0,06/10/2021
Death,2019,Place of Residence,Mendocino,30 - 34 years,No,<11,06/10/2021
Death,2019,Place of Residence,Mendocino,30 - 34 years,Unknown,0,06/10/2021
Death,2019,Place of Residence,Mendocino,30 - 34 years,Yes,0,06/10/2021
Death,2019,Place of Residence,Mendocino,35 - 39 years,No,<11,06/10/2021
Death,2019,Place of Residence,Mendocino,35 - 39 years,Unknown,0,06/10/2021
Death,2019,Place of Residence,Mendocino,35 - 39 years,Yes,<11,06/10/2021
Death,2019,Place of Residence,Mendocino,40 - 44 years,No,14,06/10/2021
Death,2019,Place of Residence,Mendocino,40 - 44 years,Unknown,0,06/10/2021
Death,2019,Place of Residence,Mendocino,40 - 44 years,Yes,0,06/10/2021
Death,2019,Place of Residence,Mendocino,45 - 49 years,No,21,06/10/2021
Death,2019,Place of Residence,Mendocino,45 - 49 years,Unknown,0,06/10/2021
Death,2019,Place of Residence,Mendocino,45 - 49 years,Yes,<11,06/10/2021
Death,2019,Place of Residence,Mendocino,50 - 54 years,No,29,06/10/2021
Death,2019,Place of Residence,Mendocino,50 - 54 years,Unknown,<11,06/10/2021
Death,2019,Place of Residence,Mendocino,50 - 54 years,Yes,<11,06/10/2021
Death,2019,Place of Residence,Mendocino,55 - 59 years,No,38,06/10/2021
Death,2019,Place of Residence,Mendocino,55 - 59 years,Unknown,0,06/10/2021
Death,2019,Place of Residence,Mendocino,55 - 59 years,Yes,<11,06/10/2021
Death,2019,Place of Residence,Mendocino,60 - 64 years,No,54,06/10/2021
Death,2019,Place of Residence,Mendocino,60 - 64 years,Unknown,<11,06/10/2021
Death,2019,Place of Residence,Mendocino,60 - 64 years,Yes,<11,06/10/2021
Death,2019,Place of Residence,Mendocino,65 - 69 years,No,81,06/10/2021
Death,2019,Place of Residence,Mendocino,65 - 69 years,Unknown,<11,06/10/2021
Death,2019,Place of Residence,Mendocino,65 - 69 years,Yes,11,06/10/2021
Death,2019,Place of Residence,Mendocino,70 - 74 years,No,91,06/10/2021
Death,2019,Place of Residence,Mendocino,70 - 74 years,Unknown,<11,06/10/2021
Death,2019,Place of Residence,Mendocino,70 - 74 years,Yes,26,06/10/2021
Death,2019,Place of Residence,Mendocino,75 - 79 years,No,86,06/10/2021
Death,2019,Place of Residence,Mendocino,75 - 79 years,Unknown,<11,06/10/2021
Death,2019,Place of Residence,Mendocino,75 - 79 years,Yes,31,06/10/2021
Death,2019,Place of Residence,Mendocino,80 - 84 years,No,66,06/10/2021
Death,2019,Place of Residence,Mendocino,80 - 84 years,Unknown,<11,06/10/2021
Death,2019,Place of Residence,Mendocino,80 - 84 years,Yes,35,06/10/2021
Death,2019,Place of Residence,Mendocino,85 - 89 years,No,71,06/10/2021
Death,2019,Place of Residence,Mendocino,85 - 89 years,Unknown,<11,06/10/2021
Death,2019,Place of Residence,Mendocino,85 - 89 years,Yes,31,06/10/2021
Death,2019,Place of Residence,Mendocino,90 - 94 years,No,62,06/10/2021
Death,2019,Place of Residence,Mendocino,90 - 94 years,Unknown,<11,06/10/2021
Death,2019,Place of Residence,Mendocino,90 - 94 years,Yes,23,06/10/2021
Death,2019,Place of Residence,Mendocino,95 - 99 years,No,23,06/10/2021
Death,2019,Place of Residence,Mendocino,95 - 99 years,Unknown,<11,06/10/2021
Death,2019,Place of Residence,Mendocino,95 - 99 years,Yes,12,06/10/2021
Death,2019,Place of Residence,Mendocino,100 years and over,No,11,06/10/2021
Death,2019,Place of Residence,Mendocino,100 years and over,Unknown,0,06/10/2021
Death,2019,Place of Residence,Mendocino,100 years and over,Yes,<11,06/10/2021
Death,2019,Place of Residence,Merced,Less than 1 year,No,20,06/10/2021
Death,2019,Place of Residence,Merced,Less than 1 year,Unknown,0,06/10/2021
Death,2019,Place of Residence,Merced,Less than 1 year,Yes,0,06/10/2021
Death,2019,Place of Residence,Merced,1 - 4 years,No,<11,06/10/2021
Death,2019,Place of Residence,Merced,1 - 4 years,Unknown,0,06/10/2021
Death,2019,Place of Residence,Merced,1 - 4 years,Yes,0,06/10/2021
Death,2019,Place of Residence,Merced,5 - 9 years,No,0,06/10/2021
Death,2019,Place of Residence,Merced,5 - 9 years,Unknown,0,06/10/2021
Death,2019,Place of Residence,Merced,5 - 9 years,Yes,0,06/10/2021
Death,2019,Place of Residence,Merced,10 - 14 years,No,<11,06/10/2021
Death,2019,Place of Residence,Merced,10 - 14 years,Unknown,0,06/10/2021
Death,2019,Place of Residence,Merced,10 - 14 years,Yes,0,06/10/2021
Death,2019,Place of Residence,Merced,15 - 19 years,No,<11,06/10/2021
Death,2019,Place of Residence,Merced,15 - 19 years,Unknown,0,06/10/2021
Death,2019,Place of Residence,Merced,15 - 19 years,Yes,0,06/10/2021
Death,2019,Place of Residence,Merced,20 - 24 years,No,19,06/10/2021
Death,2019,Place of Residence,Merced,20 - 24 years,Unknown,0,06/10/2021
Death,2019,Place of Residence,Merced,20 - 24 years,Yes,0,06/10/2021
Death,2019,Place of Residence,Merced,25 - 29 years,No,18,06/10/2021
Death,2019,Place of Residence,Merced,25 - 29 years,Unknown,0,06/10/2021
Death,2019,Place of Residence,Merced,25 - 29 years,Yes,<11,06/10/2021
Death,2019,Place of Residence,Merced,30 - 34 years,No,24,06/10/2021
Death,2019,Place of Residence,Merced,30 - 34 years,Unknown,0,06/10/2021
Death,2019,Place of Residence,Merced,30 - 34 years,Yes,<11,06/10/2021
Death,2019,Place of Residence,Merced,35 - 39 years,No,36,06/10/2021
Death,2019,Place of Residence,Merced,35 - 39 years,Unknown,0,06/10/2021
Death,2019,Place of Residence,Merced,35 - 39 years,Yes,0,06/10/2021
Death,2019,Place of Residence,Merced,40 - 44 years,No,42,06/10/2021
Death,2019,Place of Residence,Merced,40 - 44 years,Unknown,0,06/10/2021
Death,2019,Place of Residence,Merced,40 - 44 years,Yes,0,06/10/2021
Death,2019,Place of Residence,Merced,45 - 49 years,No,52,06/10/2021
Death,2019,Place of Residence,Merced,45 - 49 years,Unknown,0,06/10/2021
Death,2019,Place of Residence,Merced,45 - 49 years,Yes,<11,06/10/2021
Death,2019,Place of Residence,Merced,50 - 54 years,No,73,06/10/2021
Death,2019,Place of Residence,Merced,50 - 54 years,Unknown,0,06/10/2021
Death,2019,Place of Residence,Merced,50 - 54 years,Yes,<11,06/10/2021
Death,2019,Place of Residence,Merced,55 - 59 years,No,108,06/10/2021
Death,2019,Place of Residence,Merced,55 - 59 years,Unknown,<11,06/10/2021
Death,2019,Place of Residence,Merced,55 - 59 years,Yes,<11,06/10/2021
Death,2019,Place of Residence,Merced,60 - 64 years,No,131,06/10/2021
Death,2019,Place of Residence,Merced,60 - 64 years,Unknown,<11,06/10/2021
Death,2019,Place of Residence,Merced,60 - 64 years,Yes,17,06/10/2021
Death,2019,Place of Residence,Merced,65 - 69 years,No,129,06/10/2021
Death,2019,Place of Residence,Merced,65 - 69 years,Unknown,<11,06/10/2021
Death,2019,Place of Residence,Merced,65 - 69 years,Yes,15,06/10/2021
Death,2019,Place of Residence,Merced,70 - 74 years,No,129,06/10/2021
Death,2019,Place of Residence,Merced,70 - 74 years,Unknown,<11,06/10/2021
Death,2019,Place of Residence,Merced,70 - 74 years,Yes,35,06/10/2021
Death,2019,Place of Residence,Merced,75 - 79 years,No,183,06/10/2021
Death,2019,Place of Residence,Merced,75 - 79 years,Unknown,<11,06/10/2021
Death,2019,Place of Residence,Merced,75 - 79 years,Yes,39,06/10/2021
Death,2019,Place of Residence,Merced,80 - 84 years,No,164,06/10/2021
Death,2019,Place of Residence,Merced,80 - 84 years,Unknown,0,06/10/2021
Death,2019,Place of Residence,Merced,80 - 84 years,Yes,69,06/10/2021
Death,2019,Place of Residence,Merced,85 - 89 years,No,131,06/10/2021
Death,2019,Place of Residence,Merced,85 - 89 years,Unknown,<11,06/10/2021
Death,2019,Place of Residence,Merced,85 - 89 years,Yes,63,06/10/2021
Death,2019,Place of Residence,Merced,90 - 94 years,No,98,06/10/2021
Death,2019,Place of Residence,Merced,90 - 94 years,Unknown,<11,06/10/2021
Death,2019,Place of Residence,Merced,90 - 94 years,Yes,40,06/10/2021
Death,2019,Place of Residence,Merced,95 - 99 years,No,59,06/10/2021
Death,2019,Place of Residence,Merced,95 - 99 years,Unknown,0,06/10/2021
Death,2019,Place of Residence,Merced,95 - 99 years,Yes,11,06/10/2021
Death,2019,Place of Residence,Merced,100 years and over,No,20,06/10/2021
Death,2019,Place of Residence,Merced,100 years and over,Unknown,0,06/10/2021
Death,2019,Place of Residence,Merced,100 years and over,Yes,<11,06/10/2021
Death,2019,Place of Residence,Modoc,Less than 1 year,No,0,06/10/2021
Death,2019,Place of Residence,Modoc,Less than 1 year,Unknown,0,06/10/2021
Death,2019,Place of Residence,Modoc,Less than 1 year,Yes,0,06/10/2021
Death,2019,Place of Residence,Modoc,1 - 4 years,No,<11,06/10/2021
Death,2019,Place of Residence,Modoc,1 - 4 years,Unknown,0,06/10/2021
Death,2019,Place of Residence,Modoc,1 - 4 years,Yes,0,06/10/2021
Death,2019,Place of Residence,Modoc,5 - 9 years,No,0,06/10/2021
Death,2019,Place of Residence,Modoc,5 - 9 years,Unknown,0,06/10/2021
Death,2019,Place of Residence,Modoc,5 - 9 years,Yes,0,06/10/2021
Death,2019,Place of Residence,Modoc,10 - 14 years,No,0,06/10/2021
Death,2019,Place of Residence,Modoc,10 - 14 years,Unknown,0,06/10/2021
Death,2019,Place of Residence,Modoc,10 - 14 years,Yes,0,06/10/2021
Death,2019,Place of Residence,Modoc,15 - 19 years,No,0,06/10/2021
Death,2019,Place of Residence,Modoc,15 - 19 years,Unknown,0,06/10/2021
Death,2019,Place of Residence,Modoc,15 - 19 years,Yes,0,06/10/2021
Death,2019,Place of Residence,Modoc,20 - 24 years,No,0,06/10/2021
Death,2019,Place of Residence,Modoc,20 - 24 years,Unknown,0,06/10/2021
Death,2019,Place of Residence,Modoc,20 - 24 years,Yes,0,06/10/2021
Death,2019,Place of Residence,Modoc,25 - 29 years,No,0,06/10/2021
Death,2019,Place of Residence,Modoc,25 - 29 years,Unknown,0,06/10/2021
Death,2019,Place of Residence,Modoc,25 - 29 years,Yes,0,06/10/2021
Death,2019,Place of Residence,Modoc,30 - 34 years,No,<11,06/10/2021
Death,2019,Place of Residence,Modoc,30 - 34 years,Unknown,0,06/10/2021
Death,2019,Place of Residence,Modoc,30 - 34 years,Yes,0,06/10/2021
Death,2019,Place of Residence,Modoc,35 - 39 years,No,<11,06/10/2021
Death,2019,Place of Residence,Modoc,35 - 39 years,Unknown,0,06/10/2021
Death,2019,Place of Residence,Modoc,35 - 39 years,Yes,0,06/10/2021
Death,2019,Place of Residence,Modoc,40 - 44 years,No,<11,06/10/2021
Death,2019,Place of Residence,Modoc,40 - 44 years,Unknown,0,06/10/2021
Death,2019,Place of Residence,Modoc,40 - 44 years,Yes,0,06/10/2021
Death,2019,Place of Residence,Modoc,45 - 49 years,No,<11,06/10/2021
Death,2019,Place of Residence,Modoc,45 - 49 years,Unknown,0,06/10/2021
Death,2019,Place of Residence,Modoc,45 - 49 years,Yes,0,06/10/2021
Death,2019,Place of Residence,Modoc,50 - 54 years,No,<11,06/10/2021
Death,2019,Place of Residence,Modoc,50 - 54 years,Unknown,0,06/10/2021
Death,2019,Place of Residence,Modoc,50 - 54 years,Yes,<11,06/10/2021
Death,2019,Place of Residence,Modoc,55 - 59 years,No,<11,06/10/2021
Death,2019,Place of Residence,Modoc,55 - 59 years,Unknown,0,06/10/2021
Death,2019,Place of Residence,Modoc,55 - 59 years,Yes,0,06/10/2021
Death,2019,Place of Residence,Modoc,60 - 64 years,No,<11,06/10/2021
