Year_of_Death,County_of_Residence,Age,Education_Level,Total_Deaths_Education
2019,Napa,80 - 84 years,Bachelor's Degree,28
2019,Napa,80 - 84 years,Graduate Degree,36
2019,Napa,80 - 84 years,Unknown,10
2019,Napa,85 - 89 years,Less than High School,21
2019,Napa,85 - 89 years,High School Graduate or GED Completed,74
2019,Napa,85 - 89 years,"Some College Credit, No 4-Year Degree",42
2019,Napa,85 - 89 years,Bachelor's Degree,30
2019,Napa,85 - 89 years,Graduate Degree,22
2019,Napa,85 - 89 years,Unknown,10
2019,Napa,90 - 94 years,Less than High School,23
2019,Napa,90 - 94 years,High School Graduate or GED Completed,59
2019,Napa,90 - 94 years,"Some College Credit, No 4-Year Degree",54
2019,Napa,90 - 94 years,Bachelor's Degree,31
2019,Napa,90 - 94 years,Graduate Degree,19
2019,Napa,90 - 94 years,Unknown,10
2019,Napa,95 - 99 years,Less than High School,12
2019,Napa,95 - 99 years,High School Graduate or GED Completed,35
2019,Napa,95 - 99 years,"Some College Credit, No 4-Year Degree",18
2019,Napa,95 - 99 years,Bachelor's Degree,18
2019,Napa,95 - 99 years,Graduate Degree,10
2019,Napa,95 - 99 years,Unknown,10
2019,Napa,100 years and over,Less than High School,10
2019,Napa,100 years and over,High School Graduate or GED Completed,10
2019,Napa,100 years and over,"Some College Credit, No 4-Year Degree",10
2019,Napa,100 years and over,Bachelor's Degree,10
2019,Napa,100 years and over,Graduate Degree,10
2019,Napa,100 years and over,Unknown,10
2019,Nevada,Less than 1 year,Less than High School,10
2019,Nevada,Less than 1 year,High School Graduate or GED Completed,0
2019,Nevada,Less than 1 year,"Some College Credit, No 4-Year Degree",0
2019,Nevada,Less than 1 year,Bachelor's Degree,0
2019,Nevada,Less than 1 year,Graduate Degree,0
2019,Nevada,Less than 1 year,Unknown,0
2019,Nevada,1 - 4 years,Less than High School,10
2019,Nevada,1 - 4 years,High School Graduate or GED Completed,0
2019,Nevada,1 - 4 years,"Some College Credit, No 4-Year Degree",0
2019,Nevada,1 - 4 years,Bachelor's Degree,0
2019,Nevada,1 - 4 years,Graduate Degree,0
2019,Nevada,1 - 4 years,Unknown,0
2019,Nevada,5 - 9 years,Less than High School,0
2019,Nevada,5 - 9 years,High School Graduate or GED Completed,0
2019,Nevada,5 - 9 years,"Some College Credit, No 4-Year Degree",0
2019,Nevada,5 - 9 years,Bachelor's Degree,0
2019,Nevada,5 - 9 years,Graduate Degree,0
2019,Nevada,5 - 9 years,Unknown,0
2019,Nevada,10 - 14 years,Less than High School,10
2019,Nevada,10 - 14 years,High School Graduate or GED Completed,0
2019,Nevada,10 - 14 years,"Some College Credit, No 4-Year Degree",0
2019,Nevada,10 - 14 years,Bachelor's Degree,0
2019,Nevada,10 - 14 years,Graduate Degree,0
2019,Nevada,10 - 14 years,Unknown,0
2019,Nevada,15 - 19 years,Less than High School,0
2019,Nevada,15 - 19 years,High School Graduate or GED Completed,10
2019,Nevada,15 - 19 years,"Some College Credit, No 4-Year Degree",0
2019,Nevada,15 - 19 years,Bachelor's Degree,0
2019,Nevada,15 - 19 years,Graduate Degree,0
2019,Nevada,15 - 19 years,Unknown,0
2019,Nevada,20 - 24 years,Less than High School,0
2019,Nevada,20 - 24 years,High School Graduate or GED Completed,10
2019,Nevada,20 - 24 years,"Some College Credit, No 4-Year Degree",10
2019,Nevada,20 - 24 years,Bachelor's Degree,0
2019,Nevada,20 - 24 years,Graduate Degree,0
2019,Nevada,20 - 24 years,Unknown,0
2019,Nevada,25 - 29 years,Less than High School,10
2019,Nevada,25 - 29 years,High School Graduate or GED Completed,10
2019,Nevada,25 - 29 years,"Some College Credit, No 4-Year Degree",10
2019,Nevada,25 - 29 years,Bachelor's Degree,0
2019,Nevada,25 - 29 years,Graduate Degree,0
2019,Nevada,25 - 29 years,Unknown,0
2019,Nevada,30 - 34 years,Less than High School,0
2019,Nevada,30 - 34 years,High School Graduate or GED Completed,10
2019,Nevada,30 - 34 years,"Some College Credit, No 4-Year Degree",10
2019,Nevada,30 - 34 years,Bachelor's Degree,10
2019,Nevada,30 - 34 years,Graduate Degree,0
2019,Nevada,30 - 34 years,Unknown,0
2019,Nevada,35 - 39 years,Less than High School,10
2019,Nevada,35 - 39 years,High School Graduate or GED Completed,10
2019,Nevada,35 - 39 years,"Some College Credit, No 4-Year Degree",10
2019,Nevada,35 - 39 years,Bachelor's Degree,10
2019,Nevada,35 - 39 years,Graduate Degree,0
2019,Nevada,35 - 39 years,Unknown,0
2019,Nevada,40 - 44 years,Less than High School,10
2019,Nevada,40 - 44 years,High School Graduate or GED Completed,10
2019,Nevada,40 - 44 years,"Some College Credit, No 4-Year Degree",10
2019,Nevada,40 - 44 years,Bachelor's Degree,10
2019,Nevada,40 - 44 years,Graduate Degree,10
2019,Nevada,40 - 44 years,Unknown,0
2019,Nevada,45 - 49 years,Less than High School,10
2019,Nevada,45 - 49 years,High School Graduate or GED Completed,10
2019,Nevada,45 - 49 years,"Some College Credit, No 4-Year Degree",10
2019,Nevada,45 - 49 years,Bachelor's Degree,10
2019,Nevada,45 - 49 years,Graduate Degree,0
2019,Nevada,45 - 49 years,Unknown,0
2019,Nevada,50 - 54 years,Less than High School,10
2019,Nevada,50 - 54 years,High School Graduate or GED Completed,12
2019,Nevada,50 - 54 years,"Some College Credit, No 4-Year Degree",11
2019,Nevada,50 - 54 years,Bachelor's Degree,10
2019,Nevada,50 - 54 years,Graduate Degree,10
2019,Nevada,50 - 54 years,Unknown,0
2019,Nevada,55 - 59 years,Less than High School,10
2019,Nevada,55 - 59 years,High School Graduate or GED Completed,17
2019,Nevada,55 - 59 years,"Some College Credit, No 4-Year Degree",10
2019,Nevada,55 - 59 years,Bachelor's Degree,10
2019,Nevada,55 - 59 years,Graduate Degree,10
2019,Nevada,55 - 59 years,Unknown,10
2019,Nevada,60 - 64 years,Less than High School,10
2019,Nevada,60 - 64 years,High School Graduate or GED Completed,33
2019,Nevada,60 - 64 years,"Some College Credit, No 4-Year Degree",19
2019,Nevada,60 - 64 years,Bachelor's Degree,10
2019,Nevada,60 - 64 years,Graduate Degree,10
2019,Nevada,60 - 64 years,Unknown,10
2019,Nevada,65 - 69 years,Less than High School,10
2019,Nevada,65 - 69 years,High School Graduate or GED Completed,35
2019,Nevada,65 - 69 years,"Some College Credit, No 4-Year Degree",23
2019,Nevada,65 - 69 years,Bachelor's Degree,13
2019,Nevada,65 - 69 years,Graduate Degree,10
2019,Nevada,65 - 69 years,Unknown,10
2019,Nevada,70 - 74 years,Less than High School,10
2019,Nevada,70 - 74 years,High School Graduate or GED Completed,36
2019,Nevada,70 - 74 years,"Some College Credit, No 4-Year Degree",39
2019,Nevada,70 - 74 years,Bachelor's Degree,23
2019,Nevada,70 - 74 years,Graduate Degree,10
2019,Nevada,70 - 74 years,Unknown,10
2019,Nevada,75 - 79 years,Less than High School,10
2019,Nevada,75 - 79 years,High School Graduate or GED Completed,31
2019,Nevada,75 - 79 years,"Some College Credit, No 4-Year Degree",33
2019,Nevada,75 - 79 years,Bachelor's Degree,20
2019,Nevada,75 - 79 years,Graduate Degree,14
2019,Nevada,75 - 79 years,Unknown,0
2019,Nevada,80 - 84 years,Less than High School,10
2019,Nevada,80 - 84 years,High School Graduate or GED Completed,36
2019,Nevada,80 - 84 years,"Some College Credit, No 4-Year Degree",45
2019,Nevada,80 - 84 years,Bachelor's Degree,22
2019,Nevada,80 - 84 years,Graduate Degree,16
2019,Nevada,80 - 84 years,Unknown,0
2019,Nevada,85 - 89 years,Less than High School,10
2019,Nevada,85 - 89 years,High School Graduate or GED Completed,54
2019,Nevada,85 - 89 years,"Some College Credit, No 4-Year Degree",37
2019,Nevada,85 - 89 years,Bachelor's Degree,24
2019,Nevada,85 - 89 years,Graduate Degree,10
2019,Nevada,85 - 89 years,Unknown,0
2019,Nevada,90 - 94 years,Less than High School,11
2019,Nevada,90 - 94 years,High School Graduate or GED Completed,60
2019,Nevada,90 - 94 years,"Some College Credit, No 4-Year Degree",38
2019,Nevada,90 - 94 years,Bachelor's Degree,32
2019,Nevada,90 - 94 years,Graduate Degree,10
2019,Nevada,90 - 94 years,Unknown,10
2019,Nevada,95 - 99 years,Less than High School,10
2019,Nevada,95 - 99 years,High School Graduate or GED Completed,37
2019,Nevada,95 - 99 years,"Some College Credit, No 4-Year Degree",24
2019,Nevada,95 - 99 years,Bachelor's Degree,10
2019,Nevada,95 - 99 years,Graduate Degree,10
2019,Nevada,95 - 99 years,Unknown,0
2019,Nevada,100 years and over,Less than High School,10
2019,Nevada,100 years and over,High School Graduate or GED Completed,10
2019,Nevada,100 years and over,"Some College Credit, No 4-Year Degree",10
2019,Nevada,100 years and over,Bachelor's Degree,10
2019,Nevada,100 years and over,Graduate Degree,10
2019,Nevada,100 years and over,Unknown,0
2019,Orange,Less than 1 year,Less than High School,102
2019,Orange,Less than 1 year,High School Graduate or GED Completed,0
2019,Orange,Less than 1 year,"Some College Credit, No 4-Year Degree",0
2019,Orange,Less than 1 year,Bachelor's Degree,0
2019,Orange,Less than 1 year,Graduate Degree,0
2019,Orange,Less than 1 year,Unknown,10
2019,Orange,1 - 4 years,Less than High School,14
2019,Orange,1 - 4 years,High School Graduate or GED Completed,0
2019,Orange,1 - 4 years,"Some College Credit, No 4-Year Degree",0
2019,Orange,1 - 4 years,Bachelor's Degree,0
2019,Orange,1 - 4 years,Graduate Degree,0
2019,Orange,1 - 4 years,Unknown,0
2019,Orange,5 - 9 years,Less than High School,10
2019,Orange,5 - 9 years,High School Graduate or GED Completed,0
2019,Orange,5 - 9 years,"Some College Credit, No 4-Year Degree",0
2019,Orange,5 - 9 years,Bachelor's Degree,0
2019,Orange,5 - 9 years,Graduate Degree,0
2019,Orange,5 - 9 years,Unknown,0
2019,Orange,10 - 14 years,Less than High School,12
2019,Orange,10 - 14 years,High School Graduate or GED Completed,0
2019,Orange,10 - 14 years,"Some College Credit, No 4-Year Degree",0
2019,Orange,10 - 14 years,Bachelor's Degree,0
2019,Orange,10 - 14 years,Graduate Degree,0
2019,Orange,10 - 14 years,Unknown,0
2019,Orange,15 - 19 years,Less than High School,26
2019,Orange,15 - 19 years,High School Graduate or GED Completed,13
2019,Orange,15 - 19 years,"Some College Credit, No 4-Year Degree",10
2019,Orange,15 - 19 years,Bachelor's Degree,0
2019,Orange,15 - 19 years,Graduate Degree,0
2019,Orange,15 - 19 years,Unknown,10
2019,Orange,20 - 24 years,Less than High School,15
2019,Orange,20 - 24 years,High School Graduate or GED Completed,52
2019,Orange,20 - 24 years,"Some College Credit, No 4-Year Degree",44
2019,Orange,20 - 24 years,Bachelor's Degree,10
2019,Orange,20 - 24 years,Graduate Degree,0
2019,Orange,20 - 24 years,Unknown,0
2019,Orange,25 - 29 years,Less than High School,27
2019,Orange,25 - 29 years,High School Graduate or GED Completed,61
2019,Orange,25 - 29 years,"Some College Credit, No 4-Year Degree",57
2019,Orange,25 - 29 years,Bachelor's Degree,19
2019,Orange,25 - 29 years,Graduate Degree,10
2019,Orange,25 - 29 years,Unknown,0
2019,Orange,30 - 34 years,Less than High School,24
2019,Orange,30 - 34 years,High School Graduate or GED Completed,74
2019,Orange,30 - 34 years,"Some College Credit, No 4-Year Degree",45
2019,Orange,30 - 34 years,Bachelor's Degree,28
2019,Orange,30 - 34 years,Graduate Degree,11
2019,Orange,30 - 34 years,Unknown,10
2019,Orange,35 - 39 years,Less than High School,38
2019,Orange,35 - 39 years,High School Graduate or GED Completed,73
2019,Orange,35 - 39 years,"Some College Credit, No 4-Year Degree",65
2019,Orange,35 - 39 years,Bachelor's Degree,24
2019,Orange,35 - 39 years,Graduate Degree,15
2019,Orange,35 - 39 years,Unknown,10
2019,Orange,40 - 44 years,Less than High School,48
2019,Orange,40 - 44 years,High School Graduate or GED Completed,80
2019,Orange,40 - 44 years,"Some College Credit, No 4-Year Degree",60
2019,Orange,40 - 44 years,Bachelor's Degree,45
2019,Orange,40 - 44 years,Graduate Degree,13
2019,Orange,40 - 44 years,Unknown,10
2019,Orange,45 - 49 years,Less than High School,95
2019,Orange,45 - 49 years,High School Graduate or GED Completed,112
2019,Orange,45 - 49 years,"Some College Credit, No 4-Year Degree",106
2019,Orange,45 - 49 years,Bachelor's Degree,51
2019,Orange,45 - 49 years,Graduate Degree,30
2019,Orange,45 - 49 years,Unknown,10
2019,Orange,50 - 54 years,Less than High School,144
2019,Orange,50 - 54 years,High School Graduate or GED Completed,202
2019,Orange,50 - 54 years,"Some College Credit, No 4-Year Degree",147
2019,Orange,50 - 54 years,Bachelor's Degree,100
2019,Orange,50 - 54 years,Graduate Degree,43
2019,Orange,50 - 54 years,Unknown,11
2019,Orange,55 - 59 years,Less than High School,159
2019,Orange,55 - 59 years,High School Graduate or GED Completed,329
2019,Orange,55 - 59 years,"Some College Credit, No 4-Year Degree",243
2019,Orange,55 - 59 years,Bachelor's Degree,150
2019,Orange,55 - 59 years,Graduate Degree,55
2019,Orange,55 - 59 years,Unknown,21
2019,Orange,60 - 64 years,Less than High School,177
2019,Orange,60 - 64 years,High School Graduate or GED Completed,352
2019,Orange,60 - 64 years,"Some College Credit, No 4-Year Degree",329
2019,Orange,60 - 64 years,Bachelor's Degree,198
2019,Orange,60 - 64 years,Graduate Degree,92
2019,Orange,60 - 64 years,Unknown,49
2019,Orange,65 - 69 years,Less than High School,178
2019,Orange,65 - 69 years,High School Graduate or GED Completed,399
2019,Orange,65 - 69 years,"Some College Credit, No 4-Year Degree",377
2019,Orange,65 - 69 years,Bachelor's Degree,246
2019,Orange,65 - 69 years,Graduate Degree,155
2019,Orange,65 - 69 years,Unknown,47
2019,Orange,70 - 74 years,Less than High School,195
2019,Orange,70 - 74 years,High School Graduate or GED Completed,481
2019,Orange,70 - 74 years,"Some College Credit, No 4-Year Degree",499
2019,Orange,70 - 74 years,Bachelor's Degree,382
2019,Orange,70 - 74 years,Graduate Degree,206
2019,Orange,70 - 74 years,Unknown,42
2019,Orange,75 - 79 years,Less than High School,270
2019,Orange,75 - 79 years,High School Graduate or GED Completed,658
2019,Orange,75 - 79 years,"Some College Credit, No 4-Year Degree",553
2019,Orange,75 - 79 years,Bachelor's Degree,379
2019,Orange,75 - 79 years,Graduate Degree,299
2019,Orange,75 - 79 years,Unknown,40
2019,Orange,80 - 84 years,Less than High School,343
2019,Orange,80 - 84 years,High School Graduate or GED Completed,832
2019,Orange,80 - 84 years,"Some College Credit, No 4-Year Degree",638
2019,Orange,80 - 84 years,Bachelor's Degree,511
2019,Orange,80 - 84 years,Graduate Degree,380
2019,Orange,80 - 84 years,Unknown,41
2019,Orange,85 - 89 years,Less than High School,446
2019,Orange,85 - 89 years,High School Graduate or GED Completed,1071
2019,Orange,85 - 89 years,"Some College Credit, No 4-Year Degree",643
2019,Orange,85 - 89 years,Bachelor's Degree,628
2019,Orange,85 - 89 years,Graduate Degree,415
2019,Orange,85 - 89 years,Unknown,35
2019,Orange,90 - 94 years,Less than High School,431
2019,Orange,90 - 94 years,High School Graduate or GED Completed,1042
2019,Orange,90 - 94 years,"Some College Credit, No 4-Year Degree",608
2019,Orange,90 - 94 years,Bachelor's Degree,486
2019,Orange,90 - 94 years,Graduate Degree,319
2019,Orange,90 - 94 years,Unknown,38
2019,Orange,95 - 99 years,Less than High School,244
2019,Orange,95 - 99 years,High School Graduate or GED Completed,556
2019,Orange,95 - 99 years,"Some College Credit, No 4-Year Degree",301
2019,Orange,95 - 99 years,Bachelor's Degree,243
2019,Orange,95 - 99 years,Graduate Degree,149
2019,Orange,95 - 99 years,Unknown,18
2019,Orange,100 years and over,Less than High School,51
2019,Orange,100 years and over,High School Graduate or GED Completed,109
2019,Orange,100 years and over,"Some College Credit, No 4-Year Degree",49
2019,Orange,100 years and over,Bachelor's Degree,42
2019,Orange,100 years and over,Graduate Degree,21
2019,Orange,100 years and over,Unknown,10
2019,Placer,Less than 1 year,Less than High School,14
2019,Placer,Less than 1 year,High School Graduate or GED Completed,0
2019,Placer,Less than 1 year,"Some College Credit, No 4-Year Degree",0
2019,Placer,Less than 1 year,Bachelor's Degree,0
2019,Placer,Less than 1 year,Graduate Degree,0
2019,Placer,Less than 1 year,Unknown,0
2019,Placer,1 - 4 years,Less than High School,10
2019,Placer,1 - 4 years,High School Graduate or GED Completed,0
2019,Placer,1 - 4 years,"Some College Credit, No 4-Year Degree",0
2019,Placer,1 - 4 years,Bachelor's Degree,0
2019,Placer,1 - 4 years,Graduate Degree,0
2019,Placer,1 - 4 years,Unknown,0
2019,Placer,5 - 9 years,Less than High School,10
2019,Placer,5 - 9 years,High School Graduate or GED Completed,0
2019,Placer,5 - 9 years,"Some College Credit, No 4-Year Degree",0
2019,Placer,5 - 9 years,Bachelor's Degree,0
2019,Placer,5 - 9 years,Graduate Degree,0
2019,Placer,5 - 9 years,Unknown,0
2019,Placer,10 - 14 years,Less than High School,10
2019,Placer,10 - 14 years,High School Graduate or GED Completed,0
2019,Placer,10 - 14 years,"Some College Credit, No 4-Year Degree",0
2019,Placer,10 - 14 years,Bachelor's Degree,0
2019,Placer,10 - 14 years,Graduate Degree,0
2019,Placer,10 - 14 years,Unknown,10
2019,Placer,15 - 19 years,Less than High School,10
2019,Placer,15 - 19 years,High School Graduate or GED Completed,10
2019,Placer,15 - 19 years,"Some College Credit, No 4-Year Degree",10
2019,Placer,15 - 19 years,Bachelor's Degree,0
2019,Placer,15 - 19 years,Graduate Degree,0
2019,Placer,15 - 19 years,Unknown,10
2019,Placer,20 - 24 years,Less than High School,10
2019,Placer,20 - 24 years,High School Graduate or GED Completed,10
2019,Placer,20 - 24 years,"Some College Credit, No 4-Year Degree",10
2019,Placer,20 - 24 years,Bachelor's Degree,10
2019,Placer,20 - 24 years,Graduate Degree,0
2019,Placer,20 - 24 years,Unknown,10
2019,Placer,25 - 29 years,Less than High School,0
2019,Placer,25 - 29 years,High School Graduate or GED Completed,12
2019,Placer,25 - 29 years,"Some College Credit, No 4-Year Degree",10
2019,Placer,25 - 29 years,Bachelor's Degree,10
2019,Placer,25 - 29 years,Graduate Degree,0
2019,Placer,25 - 29 years,Unknown,10
2019,Placer,30 - 34 years,Less than High School,10
2019,Placer,30 - 34 years,High School Graduate or GED Completed,11
2019,Placer,30 - 34 years,"Some College Credit, No 4-Year Degree",10
2019,Placer,30 - 34 years,Bachelor's Degree,10
2019,Placer,30 - 34 years,Graduate Degree,10
2019,Placer,30 - 34 years,Unknown,0
2019,Placer,35 - 39 years,Less than High School,10
2019,Placer,35 - 39 years,High School Graduate or GED Completed,16
2019,Placer,35 - 39 years,"Some College Credit, No 4-Year Degree",11
2019,Placer,35 - 39 years,Bachelor's Degree,10
2019,Placer,35 - 39 years,Graduate Degree,10
2019,Placer,35 - 39 years,Unknown,0
2019,Placer,40 - 44 years,Less than High School,10
2019,Placer,40 - 44 years,High School Graduate or GED Completed,11
2019,Placer,40 - 44 years,"Some College Credit, No 4-Year Degree",10
2019,Placer,40 - 44 years,Bachelor's Degree,10
2019,Placer,40 - 44 years,Graduate Degree,10
2019,Placer,40 - 44 years,Unknown,0
2019,Placer,45 - 49 years,Less than High School,10
2019,Placer,45 - 49 years,High School Graduate or GED Completed,19
2019,Placer,45 - 49 years,"Some College Credit, No 4-Year Degree",14
2019,Placer,45 - 49 years,Bachelor's Degree,13
2019,Placer,45 - 49 years,Graduate Degree,10
2019,Placer,45 - 49 years,Unknown,0
2019,Placer,50 - 54 years,Less than High School,10
2019,Placer,50 - 54 years,High School Graduate or GED Completed,26
2019,Placer,50 - 54 years,"Some College Credit, No 4-Year Degree",24
2019,Placer,50 - 54 years,Bachelor's Degree,17
2019,Placer,50 - 54 years,Graduate Degree,10
2019,Placer,50 - 54 years,Unknown,10
2019,Placer,55 - 59 years,Less than High School,13
2019,Placer,55 - 59 years,High School Graduate or GED Completed,50
2019,Placer,55 - 59 years,"Some College Credit, No 4-Year Degree",25
2019,Placer,55 - 59 years,Bachelor's Degree,17
2019,Placer,55 - 59 years,Graduate Degree,10
2019,Placer,55 - 59 years,Unknown,10
2019,Placer,60 - 64 years,Less than High School,10
2019,Placer,60 - 64 years,High School Graduate or GED Completed,74
2019,Placer,60 - 64 years,"Some College Credit, No 4-Year Degree",52
2019,Placer,60 - 64 years,Bachelor's Degree,16
2019,Placer,60 - 64 years,Graduate Degree,17
2019,Placer,60 - 64 years,Unknown,10
2019,Placer,65 - 69 years,Less than High School,13
2019,Placer,65 - 69 years,High School Graduate or GED Completed,80
2019,Placer,65 - 69 years,"Some College Credit, No 4-Year Degree",82
2019,Placer,65 - 69 years,Bachelor's Degree,29
2019,Placer,65 - 69 years,Graduate Degree,18
2019,Placer,65 - 69 years,Unknown,10
2019,Placer,70 - 74 years,Less than High School,15
2019,Placer,70 - 74 years,High School Graduate or GED Completed,116
2019,Placer,70 - 74 years,"Some College Credit, No 4-Year Degree",94
2019,Placer,70 - 74 years,Bachelor's Degree,59
2019,Placer,70 - 74 years,Graduate Degree,32
2019,Placer,70 - 74 years,Unknown,10
2019,Placer,75 - 79 years,Less than High School,31
2019,Placer,75 - 79 years,High School Graduate or GED Completed,152
2019,Placer,75 - 79 years,"Some College Credit, No 4-Year Degree",122
2019,Placer,75 - 79 years,Bachelor's Degree,65
2019,Placer,75 - 79 years,Graduate Degree,47
2019,Placer,75 - 79 years,Unknown,10
2019,Placer,80 - 84 years,Less than High School,38
2019,Placer,80 - 84 years,High School Graduate or GED Completed,160
2019,Placer,80 - 84 years,"Some College Credit, No 4-Year Degree",112
2019,Placer,80 - 84 years,Bachelor's Degree,83
2019,Placer,80 - 84 years,Graduate Degree,61
2019,Placer,80 - 84 years,Unknown,10
2019,Placer,85 - 89 years,Less than High School,49
2019,Placer,85 - 89 years,High School Graduate or GED Completed,217
2019,Placer,85 - 89 years,"Some College Credit, No 4-Year Degree",135
2019,Placer,85 - 89 years,Bachelor's Degree,97
2019,Placer,85 - 89 years,Graduate Degree,57
2019,Placer,85 - 89 years,Unknown,10
2019,Placer,90 - 94 years,Less than High School,50
2019,Placer,90 - 94 years,High School Graduate or GED Completed,193
2019,Placer,90 - 94 years,"Some College Credit, No 4-Year Degree",92
2019,Placer,90 - 94 years,Bachelor's Degree,78
2019,Placer,90 - 94 years,Graduate Degree,30
2019,Placer,90 - 94 years,Unknown,10
2019,Placer,95 - 99 years,Less than High School,24
2019,Placer,95 - 99 years,High School Graduate or GED Completed,98
2019,Placer,95 - 99 years,"Some College Credit, No 4-Year Degree",56
2019,Placer,95 - 99 years,Bachelor's Degree,23
2019,Placer,95 - 99 years,Graduate Degree,18
2019,Placer,95 - 99 years,Unknown,10
2019,Placer,100 years and over,Less than High School,10
2019,Placer,100 years and over,High School Graduate or GED Completed,21
2019,Placer,100 years and over,"Some College Credit, No 4-Year Degree",12
2019,Placer,100 years and over,Bachelor's Degree,10
2019,Placer,100 years and over,Graduate Degree,10
2019,Placer,100 years and over,Unknown,0
2019,Plumas,Less than 1 year,Less than High School,10
2019,Plumas,Less than 1 year,High School Graduate or GED Completed,0
2019,Plumas,Less than 1 year,"Some College Credit, No 4-Year Degree",0
2019,Plumas,Less than 1 year,Bachelor's Degree,0
2019,Plumas,Less than 1 year,Graduate Degree,0
2019,Plumas,Less than 1 year,Unknown,0
2019,Plumas,1 - 4 years,Less than High School,0
2019,Plumas,1 - 4 years,High School Graduate or GED Completed,0
2019,Plumas,1 - 4 years,"Some College Credit, No 4-Year Degree",0
2019,Plumas,1 - 4 years,Bachelor's Degree,0
2019,Plumas,1 - 4 years,Graduate Degree,0
2019,Plumas,1 - 4 years,Unknown,0
2019,Plumas,5 - 9 years,Less than High School,10
2019,Plumas,5 - 9 years,High School Graduate or GED Completed,0
2019,Plumas,5 - 9 years,"Some College Credit, No 4-Year Degree",0
2019,Plumas,5 - 9 years,Bachelor's Degree,0
2019,Plumas,5 - 9 years,Graduate Degree,0
2019,Plumas,5 - 9 years,Unknown,0
2019,Plumas,10 - 14 years,Less than High School,0
2019,Plumas,10 - 14 years,High School Graduate or GED Completed,0
2019,Plumas,10 - 14 years,"Some College Credit, No 4-Year Degree",0
2019,Plumas,10 - 14 years,Bachelor's Degree,0
2019,Plumas,10 - 14 years,Graduate Degree,0
2019,Plumas,10 - 14 years,Unknown,0
2019,Plumas,15 - 19 years,Less than High School,0
2019,Plumas,15 - 19 years,High School Graduate or GED Completed,0
2019,Plumas,15 - 19 years,"Some College Credit, No 4-Year Degree",0
2019,Plumas,15 - 19 years,Bachelor's Degree,0
2019,Plumas,15 - 19 years,Graduate Degree,0
2019,Plumas,15 - 19 years,Unknown,0
2019,Plumas,20 - 24 years,Less than High School,0
2019,Plumas,20 - 24 years,High School Graduate or GED Completed,0
2019,Plumas,20 - 24 years,"Some College Credit, No 4-Year Degree",0
2019,Plumas,20 - 24 years,Bachelor's Degree,0
2019,Plumas,20 - 24 years,Graduate Degree,0
2019,Plumas,20 - 24 years,Unknown,0
2019,Plumas,25 - 29 years,Less than High School,0
2019,Plumas,25 - 29 years,High School Graduate or GED Completed,10
2019,Plumas,25 - 29 years,"Some College Credit, No 4-Year Degree",10
2019,Plumas,25 - 29 years,Bachelor's Degree,0
2019,Plumas,25 - 29 years,Graduate Degree,0
2019,Plumas,25 - 29 years,Unknown,0
2019,Plumas,30 - 34 years,Less than High School,0
2019,Plumas,30 - 34 years,High School Graduate or GED Completed,10
2019,Plumas,30 - 34 years,"Some College Credit, No 4-Year Degree",0
2019,Plumas,30 - 34 years,Bachelor's Degree,0
2019,Plumas,30 - 34 years,Graduate Degree,0
2019,Plumas,30 - 34 years,Unknown,0
2019,Plumas,35 - 39 years,Less than High School,0
2019,Plumas,35 - 39 years,High School Graduate or GED Completed,10
2019,Plumas,35 - 39 years,"Some College Credit, No 4-Year Degree",0
2019,Plumas,35 - 39 years,Bachelor's Degree,0
2019,Plumas,35 - 39 years,Graduate Degree,0
2019,Plumas,35 - 39 years,Unknown,0
2019,Plumas,40 - 44 years,Less than High School,0
2019,Plumas,40 - 44 years,High School Graduate or GED Completed,10
2019,Plumas,40 - 44 years,"Some College Credit, No 4-Year Degree",0
2019,Plumas,40 - 44 years,Bachelor's Degree,0
2019,Plumas,40 - 44 years,Graduate Degree,0
2019,Plumas,40 - 44 years,Unknown,0
2019,Plumas,45 - 49 years,Less than High School,0
2019,Plumas,45 - 49 years,High School Graduate or GED Completed,0
2019,Plumas,45 - 49 years,"Some College Credit, No 4-Year Degree",0
2019,Plumas,45 - 49 years,Bachelor's Degree,10
2019,Plumas,45 - 49 years,Graduate Degree,0
2019,Plumas,45 - 49 years,Unknown,0
2019,Plumas,50 - 54 years,Less than High School,0
2019,Plumas,50 - 54 years,High School Graduate or GED Completed,10
2019,Plumas,50 - 54 years,"Some College Credit, No 4-Year Degree",10
2019,Plumas,50 - 54 years,Bachelor's Degree,0
2019,Plumas,50 - 54 years,Graduate Degree,0
2019,Plumas,50 - 54 years,Unknown,0
2019,Plumas,55 - 59 years,Less than High School,10
2019,Plumas,55 - 59 years,High School Graduate or GED Completed,10
2019,Plumas,55 - 59 years,"Some College Credit, No 4-Year Degree",10
2019,Plumas,55 - 59 years,Bachelor's Degree,0
2019,Plumas,55 - 59 years,Graduate Degree,0
2019,Plumas,55 - 59 years,Unknown,0
2019,Plumas,60 - 64 years,Less than High School,10
2019,Plumas,60 - 64 years,High School Graduate or GED Completed,11
2019,Plumas,60 - 64 years,"Some College Credit, No 4-Year Degree",10
2019,Plumas,60 - 64 years,Bachelor's Degree,10
2019,Plumas,60 - 64 years,Graduate Degree,10
2019,Plumas,60 - 64 years,Unknown,10
2019,Plumas,65 - 69 years,Less than High School,10
2019,Plumas,65 - 69 years,High School Graduate or GED Completed,10
2019,Plumas,65 - 69 years,"Some College Credit, No 4-Year Degree",10
